,pair,trial
16219,117,2
16240,117,3
16282,117,5
16380,117,11
16710,117,29
16788,117,33
16835,117,36
16890,117,39
16945,117,42
16977,117,44
17106,117,51
17212,117,57
17292,117,61
17309,117,62
17445,117,70
17500,117,73
17551,117,76
17640,117,81
17947,117,98
18036,117,103
18057,117,104
18381,117,122
18438,117,125
18465,117,126
18468,117,127
18548,117,131
18671,117,138
18756,117,143
18792,117,145
19027,117,158
19046,117,159
19289,117,172
19560,117,187
19605,117,190
19651,117,192
19738,117,197
19755,117,198
19939,117,208
19980,117,211
20085,117,216
20126,117,219
20193,117,222
20297,117,228
20359,117,232
20420,117,235
20685,117,250
20916,117,263
21032,117,269
21081,117,272
21187,117,278
21415,117,290
21420,117,291
21487,117,294
